597,3002528,"analog-input","GLRF.ABSL PRESS ALARMS.1024F3-DP","1024G to 1024F Diffential Pressure"
597,3002530,"analog-input","GLRF.ABSL PRESS ALARMS.1024G-DP","Corr 1000C to 1024G Diffential Pressure"
597,3002532,"analog-input","GLRF.ABSL PRESS ALARMS.1024H-DP","1024F to 1024H Diffential Pressure"
597,3002534,"analog-input","GLRF.ABSL PRESS ALARMS.1024J1-DP","1024K to 1024J Diffential Pressure"
597,3002536,"analog-input","GLRF.ABSL PRESS ALARMS.1024J2-DP","1058 to 1024J Diffential Pressure"
597,3002538,"analog-input","GLRF.ABSL PRESS ALARMS.1024J3-DP","1024E to 1024J Diffential Pressure"
597,3002540,"analog-input","GLRF.ABSL PRESS ALARMS.1024L-DP","1024J to 1024L Diffential Pressure"
597,3000111,"analog-output","GLRF.AHU-21_22.SF21-O","Supply Fan Output"
597,3000113,"analog-output","GLRF.AHU-21_22.RF21-O","Return Fan Output"
597,3000115,"analog-output","GLRF.AHU-21_22.EREF21-O","ERU Exhaust Fan Output"
597,3000117,"analog-output","GLRF.AHU-21_22.SF22-O","Supply Fan Output"
597,3000119,"analog-output","GLRF.AHU-21_22.RF22-O","Return Fan Output"
597,3000121,"analog-output","GLRF.AHU-21_22.EREF22-O","ERU Exhaust Fan Output"
597,3000226,"analog-output","GLRF.ACID-EXH.EF41-O","Exhaust Fan 41 Output"
597,3000227,"analog-output","GLRF.ACID-EXH.EF41ISO-O","Exhaust Fan 41 Iso Damper Output"
597,3000231,"analog-output","GLRF.ACID-EXH.EF42-O","Exhaust Fan 42 Output"
597,3000233,"analog-output","GLRF.ACID-EXH.EF42ISO-O","Exhaust Fan 42 Iso Damper Output"
597,3000235,"analog-output","GLRF.ACID-EXH.OADBYPD-O","OA Bypass Damper Output"
597,3000253,"analog-output","GLRF.ABSL-EXH.EF29-O","Exhaust Fan 29 Output"
597,3000255,"analog-output","GLRF.ABSL-EXH.EF29ISO-O","Exhaust Fan 29 Iso Damper Output"
597,3000259,"analog-output","GLRF.ABSL-EXH.EF30-O","Exhaust Fan 30 Output"
597,3000261,"analog-output","GLRF.ABSL-EXH.EF30ISO-O","Exhaust Fan 30 Iso Damper Output"
597,3000263,"analog-output","GLRF.ABSL-EXH.OABYPD-O","OA Bypass Damper Output"
597,3001179,"analog-output","GLRF.FUME-EXH.EF26-O","Exhaust Fan 26 Output"
597,3001181,"analog-output","GLRF.FUME-EXH.EF26ISO-O","Exhaust Fan 26 Iso Damper Output"
597,3001192,"analog-output","GLRF.FUME-EXH.EF27-O","Exhaust Fan 27 Output"
597,3001196,"analog-output","GLRF.FUME-EXH.EF27ISO-O","Exhaust Fan 27 Iso Damper Output"
597,3001205,"analog-output","GLRF.FUME-EXH.EF28-O","Exhaust Fan 28 Output"
597,3001207,"analog-output","GLRF.FUME-EXH.EF28ISO-O","Exhaust Fan 28 Iso Damper Output"
597,3001211,"analog-output","GLRF.FUME-EXH.OABYPD21-O","HRU-21 OA Bypass Damper Output"
597,3001242,"analog-output","GLRF.FUME-EXH.OABYPD22-O","HRU-22 OA Bypass Damper Output"
597,3001350,"analog-output","GLRF.AHU-21.OAD-O","Outdoor Air Damper Output"
597,3001356,"analog-output","GLRF.AHU-21.HTG-O","Heating Output"
597,3001363,"analog-output","GLRF.AHU-21.CLG-O","Cooling Output"
597,3001371,"analog-output","GLRF.AHU-21.RAD-O","Return Air Damper Output"
597,3001372,"analog-output","GLRF.AHU-21.EAD-O","Exhaust Air Damper Output"
597,3001381,"analog-output","GLRF.AHU-21.ERSF-O","ERU Supply Fan Output"
597,3001395,"analog-output","GLRF.AHU-21.ERCV-O","ERU Control Valve Output"
597,3001397,"analog-output","GLRF.AHU-21.EROAD-O","ERU Outdoor Air Damper Command"
597,3001398,"analog-output","GLRF.AHU-21.EREAD-O","ERU Exhaust Air Damper Command"
597,3001684,"analog-output","GLRF.ERU-21.Control Logic.Frost_Control.EAH_Reset_SP",""
597,3001685,"analog-output","GLRF.ERU-21.Control Logic.Frost_Control.EAT_Reset_SP",""
597,3001686,"analog-output","GLRF.ERU-21.Control Logic.Frost_Control.EAH_SP",""
597,3001687,"analog-output","GLRF.ERU-21.Control Logic.Frost_Control.EAT_SP",""
597,3001688,"analog-output","GLRF.ERU-21.Control Logic.Cooling_Mode.OA_Deadband",""
597,3001717,"analog-output","GLRF.VF.PENT.EPHDI-O","East Penthouse Damper Intake Output"
597,3001719,"analog-output","GLRF.VF.PENT.WPHDI-O","West Penthouse Damper Intake Output"
597,3000098,"analog-value","NAE-97 Outside Air Temp",""
597,3000099,"analog-value","NAE-97 Outside Air Enthalpy",""
597,3000294,"analog-value","GLRF.AHU-21.SF VFD.OUTPUT SPEED","Rated Speed"
597,3000295,"analog-value","GLRF.AHU-21.SF VFD.OUTPUT FREQ","Frequency Actual"
597,3000296,"analog-value","GLRF.AHU-21.SF VFD.RUN TIME (R)","Run Time"
597,3000297,"analog-value","GLRF.AHU-21.SF VFD.MOTOR TEMP","Motor Temp"
597,3000298,"analog-value","GLRF.AHU-21.SF VFD.CURRENT","Current"
597,3000299,"analog-value","GLRF.AHU-21.SF VFD.TORQUE","Torque"
597,3000300,"analog-value","GLRF.AHU-21.SF VFD.POWER","Power"
597,3000301,"analog-value","GLRF.AHU-21.SF VFD.DRIVE TEMP","Drive Temp"
597,3000302,"analog-value","GLRF.AHU-21.SF VFD.KWH (R)","Energy in KWH"
597,3000303,"analog-value","GLRF.AHU-21.SF VFD.MWH (NR)","Mega Watt Hour"
597,3000310,"analog-value","GLRF.AHU-21.RF VFD.OUTPUT SPEED","Rated Speed"
597,3000311,"analog-value","GLRF.AHU-21.RF VFD.OUTPUT FREQ","Frequency Actual"
597,3000312,"analog-value","GLRF.AHU-21.RF VFD.RUN TIME (R)","Run Time"
597,3000313,"analog-value","GLRF.AHU-21.RF VFD.MOTOR TEMP","Motor Temp"
597,3000314,"analog-value","GLRF.AHU-21.RF VFD.CURRENT","Current"
597,3000315,"analog-value","GLRF.AHU-21.RF VFD.TORQUE","Torque"
597,3000316,"analog-value","GLRF.AHU-21.RF VFD.POWER","Power"
597,3000317,"analog-value","GLRF.AHU-21.RF VFD.DRIVE TEMP","Drive Temp"
597,3000318,"analog-value","GLRF.AHU-21.RF VFD.KWH (R)","Energy in KWH"
597,3000319,"analog-value","GLRF.AHU-21.RF VFD.MWH (NR)","Mega Watt Hour"
597,3000326,"analog-value","GLRF.ERU-21.SF VFD.OUTPUT SPEED","Rated Speed"
597,3000327,"analog-value","GLRF.ERU-21.SF VFD.OUTPUT FREQ","Frequency Actual"
597,3000328,"analog-value","GLRF.ERU-21.SF VFD.RUN TIME (R)","Run Time"
597,3000329,"analog-value","GLRF.ERU-21.SF VFD.MOTOR TEMP","Motor Temp"
597,3000330,"analog-value","GLRF.ERU-21.SF VFD.CURRENT","Current"
597,3000331,"analog-value","GLRF.ERU-21.SF VFD.TORQUE","Torque"
597,3000332,"analog-value","GLRF.ERU-21.SF VFD.POWER","Power"
597,3000333,"analog-value","GLRF.ERU-21.SF VFD.DRIVE TEMP","Drive Temp"
597,3000334,"analog-value","GLRF.ERU-21.SF VFD.KWH (R)","Energy in KWH"
597,3000335,"analog-value","GLRF.ERU-21.SF VFD.MWH (NR)","Mega Watt Hour"
597,3000342,"analog-value","GLRF.ERU-21.RF VFD.OUTPUT SPEED","Rated Speed"
597,3000343,"analog-value","GLRF.ERU-21.RF VFD.OUTPUT FREQ","Frequency Actual"
597,3000344,"analog-value","GLRF.ERU-21.RF VFD.RUN TIME (R)","Run Time"
597,3000345,"analog-value","GLRF.ERU-21.RF VFD.MOTOR TEMP","Motor Temp"
597,3000346,"analog-value","GLRF.ERU-21.RF VFD.CURRENT","Current"
597,3000347,"analog-value","GLRF.ERU-21.RF VFD.TORQUE","Torque"
597,3000348,"analog-value","GLRF.ERU-21.RF VFD.POWER","Power"
597,3000349,"analog-value","GLRF.ERU-21.RF VFD.DRIVE TEMP","Drive Temp"
597,3000350,"analog-value","GLRF.ERU-21.RF VFD.KWH (R)","Energy in KWH"
597,3000351,"analog-value","GLRF.ERU-21.RF VFD.MWH (NR)","Mega Watt Hour"
597,3000358,"analog-value","GLRF.FUME-EXH.EF26 VFD.OUTPUT SPEED","Rated Speed"
597,3000359,"analog-value","GLRF.FUME-EXH.EF26 VFD.OUTPUT FREQ","Frequency Actual"
597,3000360,"analog-value","GLRF.FUME-EXH.EF26 VFD.RUN TIME (R)","Run Time"
597,3000361,"analog-value","GLRF.FUME-EXH.EF26 VFD.MOTOR TEMP","Motor Temp"
597,3000362,"analog-value","GLRF.FUME-EXH.EF26 VFD.CURRENT","Current"
597,3000363,"analog-value","GLRF.FUME-EXH.EF26 VFD.TORQUE","Torque"
597,3000364,"analog-value","GLRF.FUME-EXH.EF26 VFD.POWER","Power"
597,3000365,"analog-value","GLRF.FUME-EXH.EF26 VFD.DRIVE TEMP","Drive Temp"
597,3000366,"analog-value","GLRF.FUME-EXH.EF26 VFD.KWH (R)","Energy in KWH"
597,3000367,"analog-value","GLRF.FUME-EXH.EF26 VFD.MWH (NR)","Mega Watt Hour"
597,3000374,"analog-value","GLRF.FUME-EXH.EF27 VFD.OUTPUT SPEED","Rated Speed"
597,3000375,"analog-value","GLRF.FUME-EXH.EF27 VFD.OUTPUT FREQ","Frequency Actual"
597,3000376,"analog-value","GLRF.FUME-EXH.EF27 VFD.RUN TIME (R)","Run Time"
597,3000377,"analog-value","GLRF.FUME-EXH.EF27 VFD.MOTOR TEMP","Motor Temp"
597,3000378,"analog-value","GLRF.FUME-EXH.EF27 VFD.CURRENT","Current"
597,3000379,"analog-value","GLRF.FUME-EXH.EF27 VFD.TORQUE","Torque"
597,3000380,"analog-value","GLRF.FUME-EXH.EF27 VFD.POWER","Power"
597,3000381,"analog-value","GLRF.FUME-EXH.EF27 VFD.DRIVE TEMP","Drive Temp"
